,id,titles,recommendations,views,regdate,author,link,contents,summary,sentiments
0,34028,ios 사용자 마을 무한 버벅거림 렉,0,0,23.07.06,핵딘핵,https://cafe.daum.net/odin/DEIV/34028,"ios 아이패드 프로 사용자인데마을에서 창고나 소모품 상자 또는 소지품 창 등을 열기만 하면무한 버벅 상태롤 화면 멈춤 계속 발생합니다. 10일도 넘게 이현상 계속 발생해서 게임 종료하고 재접속 해도 계속 버벅 거림 있습니다.버그 패치 부탁 드립니다.

",아이패드 프로 사용 시 게임이 화면이 멈추고 버벅거리는 문제가 지속되어 패치를 요청합니다.,-0.4
1,34027,길드창 중복 메세지 해결 좀.,0,44,23.07.06,s꽁이a,https://cafe.daum.net/odin/DEIV/34027,"어제 점검에 해결해 줄지 알았는데10일 이상을 이러고 있음.ㅡ ㅡ빠른 해결 완츄!!어질어질

",빠른 해결을 요청합니다. 전날의 점검으로 해결되지 않은 문제가 10일 이상 지속되고 있습니다.,0.8
2,34026,로스크바 언니 아이템 어디서 획득해.........,0,302,23.07.06,김기절,https://cafe.daum.net/odin/DEIV/34026,"획득처 영역 어디갔어 엉니

",획득처 영역이 사라져서 당황스러워요.,0.2
3,34025,다크위저드 독의숨결 2틱만 들어감,0,136,23.07.06,뱅갈냐옹이,https://cafe.daum.net/odin/DEIV/34025,"독의숨결스킬 데미지 두번만 들어가고 안들어가네요흡혈의고리 마지막틱은 여전히 안들어가고...버그좀....ㅠㅠ

",독의숨결스킬과 흡혈의고리 마지막 틱의 데미지가 들어가지 않는 버그가 있어서 고쳐주세요.,-0.1
4,34024,무한의 탑 파티 버그때문에 횟수 까진거 안돌려줌 ?,0,57,23.07.06,도비도,https://cafe.daum.net/odin/DEIV/34024,"3회밖에 안되는거 버그때문에 횟수 까졌는데 왜 안돌려주냐

",3회밖에 안되는데 버그로 인해 횟수를 잃었는데 왜 복구되지 않나요?,0.5
5,34023,탈거합성했는대 합성된걸 안주네요,0,751,23.07.06,열받아디지것네,https://cafe.daum.net/odin/DEIV/34023,,,-0.3
6,34022,던전 입장불가,0,305,23.07.06,l마이사I,https://cafe.daum.net/odin/DEIV/34022,"나만이럼??공허 난쟁이 지감 

","나만 이러는 건 아닌 건지 모르겠는데, 내게는 공허하고 외로움이 지나칠 만큼 커 보인다.",-0.7
7,34021,최하층에서 나오고나서 게임 안들어가짐,0,96,23.07.06,꺄뮨,https://cafe.daum.net/odin/DEIV/34021,"영자형 도대체 뭘 건든거야? 일이 많다 많다 하지말고 일 만들지 말고 제대로좀하자 응?

","영자형은 일에 대해 야기하든지, 너무 많이 떠들거나, 제대로 일을 해야 한다.",-0.6
8,34020,첫화면에서 무한 로딩 중이다!!,0,359,23.07.06,전탈전압전무,https://cafe.daum.net/odin/DEIV/34020,"피씨 폰 다 안들어가진다!!!!

",피씨 폰이 안들어가서 불편하다.,-0.5
9,34019,최하층 왜 안들어 가짐?,0,145,23.07.06,Matt,https://cafe.daum.net/odin/DEIV/34019,"눌리기만 하면 팅기네...블랙홀인가...

",게임이 너무 자주 팅기는데 왜 이런지 이유를 알려주실 수 있을까요?,-0.8
10,34018,정신구 강화이력이 없다고 뜨네요,0,642,23.07.05,하기쑤허접,https://cafe.daum.net/odin/DEIV/34018,"이게 말이됩니까 장신구 강화한개 최소 몇십개는될텐데 수정해주세요

",장신구 강화 개수를 몇십개 이상으로 수정해주세요.,0.3
11,34016,업뎃 후 버벅거림,0,49,23.07.05,꿍땡,https://cafe.daum.net/odin/DEIV/34016,"업뎃 이후부터 화면 버벅거림 심해요화면 넘어갈때 멈춤도 심하고..화면설정 전부 최하로 낮춰도 똑같아요아이폰/컴퓨터 둘다.. 

",업데이트 이후 화면 버벅거리고 멈춤이 심하다. 화면 설정을 최하로 낮춰도 변화가 없다. 아이폰과 컴퓨터 둘 다 동일한 문제가 발생한다.,-0.2
12,34015,피카츄,0,500,23.07.05,세라딘,https://cafe.daum.net/odin/DEIV/34015,"최하층 흡혈고리 후 다크 상태

",건의사항: 최하층 흡혈고리 후 다크 상태에 대해서 해결할 필요가 있습니다.,0.1
13,34014,특화 각인 자동변경 저장한 설정에 안멈춤,0,249,23.07.05,곰탕재료#푸,https://cafe.daum.net/odin/DEIV/34014,"https://youtu.be/3fvcLoTPz3w 이러면 명중이 1개라도 나오면 멈춰야 하는데그냥 계속 지나감영상속에 명중이 3번 나옴. 근데 그냥계속 넘어감옛날부터 이랬는데  이거 버그 아님 ..?

","동영상에서 명중이 3번 나오는데도 불구하고 계속 진행되는데, 이것은 버그가 아닌가요?",0.7
14,34012,무한의탑 파티문제해결 요청,0,365,23.07.05,하늘아이99,https://cafe.daum.net/odin/DEIV/34012,"무한의탑 들어가지고 몹 공격이 안되면서 문이열려야 한다는 문구가 나옵니다. 무한의탑 파티 체결의 조건이 있는건지요? 아니라면 신속한처리 부탁 드려요

","무한의탑 입장 시 몹 공격이 불가하면서 문이 열려야 하는데, 무한의탑 파티 체결 조건이 있는지 빠른 처리 부탁드립니다.",0.6
15,34011,위치 저장한 미르 보물하늘섬 간후 접속안됨,0,46,23.07.05,두번째1,https://cafe.daum.net/odin/DEIV/34011,"접속 시도해도 캐릭선택창 후 튕김 현상

",접속 시도 시 캐릭터 선택 후 게임이 강제로 종료됩니다.,-0.9
