,id,titles,recommendations,views,regdate,author,link,contents,summary,sentiments
0,369396,어쌔 축전압 나왔는데 넘어갈까요?,0,121,23.07.06,그냥친구로지내자,https://cafe.daum.net/odin/D034/369396,"59 스나에 영무활 하나있습니다.20질러서 어쌔 축전압나왔는데 몆티어짜린가요?걍 어쌔 하는게 날까요?

",스나이퍼의 영무활과 어쌔의 축전압 비교하여 어느 쪽을 선택해야 할지 알고 싶습니다.,-0.5
1,369395,6황장 시세가 어떻게 될가요?,0,86,23.07.06,은닉,https://cafe.daum.net/odin/D034/369395,"6황장 구매해볼까 하는데... 6황장 시세가 어떻게 되나영?2.8이면 엄청비싼거죠?

",6황장 시세가 어떻게 되는지 알려주세요. 그리고 2.8은 엄청 비싼 가격인가요?,-0.2
2,369394,방어쿠폰 한장씩 더줘라!,0,80,23.07.06,핵 산,https://cafe.daum.net/odin/D034/369394,"그게 맞다!

",아래의 건의사항을 요약하면 그것이 맞습니다.,-0.8
3,369393,개돼지는 시간이지나면 잊어버리니 방어구복구권은 입 닫고있는거임?,0,132,23.07.06,부탁해,https://cafe.daum.net/odin/D034/369393,"상의해서 후속조치한다고 공지했으면 후속좇치를 하라고 

",후속조치 공지했으면 즉시 실행하라고.,0.2
4,369392,무한의탑 역시..,0,121,23.07.06,태크어,https://cafe.daum.net/odin/D034/369392,"무한의 오류무한의 버그무한의 점검..그냥 없애도 티 안날거같은데,,

",무한의 오류와 버그를 없애는 점검을 실시해주세요.,0.1
5,369391,시간을 거스르는자~~,0,334,23.07.06,wisely,https://cafe.daum.net/odin/D034/369391,,,0.3
6,369389,헤임달4) 7발목 6만 ㅍ,0,94,23.07.06,한백,https://cafe.daum.net/odin/D034/369389,"ㅍㅍ

",건의사항 요약: 해당 건의사항은 정확한 내용이 제공되지 않았습니다.,0.5
7,369388,계정 보호 갑자기 막 걸리는게,0,120,23.07.06,찡꽁빵꽁,https://cafe.daum.net/odin/D034/369388,"PC 폰 태블릿 번갈아가며 중복 접속해서 그런거같기도하고 근데 원래 이걸로도 보호 안걸렸는데 뭐지   

","PC, 폰, 태블릿 중복 접속으로 인해 보안이 적용되지 않아서 의문이 든다.",-0.6
8,369387,그래서 방어구 복구권 어떡할건데?,0,109,23.07.06,........,https://cafe.daum.net/odin/D034/369387,"언제까지 사람기다리게 할거여? 나 아직 안썼다고! 복구기간 재설정하라고 !

","복구기간 재설정을 요청하며, 사람을 기다리는 시간을 언제까지 이어갈 것인지 물었다.",0.1
9,369386,무한의탑..,0,422,23.07.06,Looo,https://cafe.daum.net/odin/D034/369386,"왜이러는건가요...

",처음부터 완벽하지 않을 수도 있는 이유를 설명해주세요.,0.4
10,369385,형들 소서,0,176,23.07.06,배고팡팡,https://cafe.daum.net/odin/D034/369385,"형들 소서하게된다면 아크할꺼야 다크할꺼야 ?!이유는 뭐얌?><

",형들이 소서를 한다면 아크나 다크 중 어떤 게임을 선택할 것인지 이유를 알고 싶다.,0.7
11,369384,2년동안 아무 문제 없다가,0,562,23.07.06,배만갈,https://cafe.daum.net/odin/D034/369384,"최근에 거의 뭐 폭격수준으로 보호조치 들어오네 이거 뭐냐 내 게임 패턴/환경은 아무것도 바뀐게 없는데 2년동안 한번도 안그러다가 갑자기 계속 보호조치 들어오는 이유는 뭐냐 도대체 

","최근에 갑자기 보호조치가 계속 들어오는 이유가 궁금하다, 내 게임 패턴과 환경은 변한 것이 없는데 2년동안 보호조치가 한 번도 없었던 것에 비해 많이 들어오는 것 같다.",0.2
12,369383,시구르드 무기6강랑 울베6강,0,159,23.07.06,멍꿀,https://cafe.daum.net/odin/D034/369383,"pvp때   체감되나열??걍 닥치고 수집 박을까여?

",PVP 때 체감되지 않으니까 닥치고 수집을 박을까요?,0.4
13,369382,2주년기념,0,197,23.07.06,꼬마투사,https://cafe.daum.net/odin/D034/369382,"2주년 모자 안대 왜 받았는데 없죠?

",2주년 모자 안대를 받았는데 왜 없는 건가요?,0.5
