,id,titles,recommendations,views,regdate,author,link,contents,sentiments,summary
0,46463,마지막 3연속 억까만 안당했어도..,0,11,23.07.05,흐나,https://cafe.daum.net/umamusume-kor/Z4oy/46463,"이거는 챔미 못써먹겠죠..? 

",0.0,"""챔피언에 대한 사용 방법이 불편하다고 생각합니다."""
1,46462,마꾸잉 보컬 진짜 좋은데,0,8,23.07.05,귗낳음,https://cafe.daum.net/umamusume-kor/Z4oy/46462,"전 키세키가 더 좋았네요 엔드리스 드림이랑 미스 빅토리아  부르는거 보고 반했음..

",0.8,"이전에 키세키가 더 좋았는데, 엔드리스 드림과 미스 빅토리아를 부르는 걸 보고 반했어요."
2,46461,유저분들께 물어보고 싶은것이 있습니다,0,48,23.07.05,niu4132,https://cafe.daum.net/umamusume-kor/Z4oy/46461,"A클레스는 했는데요 S와SS는 어떻게 해야 하는지 몰라서요

",0.0,A클레스 이후의 S와 SS클레스에 대한 처리 방법을 알려주세요.
3,46460,한섭 1.5주년 라이트 헬로 뽑으러 대비!,0,34,23.07.05,팔콘 사랑,https://cafe.daum.net/umamusume-kor/Z4oy/46460,,0.0,
4,46459,(일섭) 일섭하시는분들 vpn 질문,0,42,23.07.05,mileo,https://cafe.daum.net/umamusume-kor/Z4oy/46459,"일섭하고싶은데 유료도 써보고 무료도 써보고했는데도 안되는데  일섭하시는분들은 어떤거쓰는지궁금한데 알려주실분잇나요 댓글안되면 카톡이나 디코로 알려주실슈잇나요..ㅠㅜ

",-0.5,"유료와 무료를 사용해봤지만 여전히 일본 서버에 연결할 수 없는데, 일본 서버에 접속하는 사람들은 어떤 VPN을 사용하는지 알고 싶고, 댓글이 안되면 카카오톡이나 디스코드로 알려주실 수 있나요?"
5,46458,(일섭) 게임기동중 30분째....,0,69,23.07.05,mileo,https://cafe.daum.net/umamusume-kor/Z4oy/46458,"왜이러는거지...

",-0.5,"요약: 건의사항은 왜 이런지 이해가 안 되는데, 한 문장으로 요약해 달라."
6,46457,드디어 맥퀸 해방이다!,0,66,23.07.05,리플렉트,https://cafe.daum.net/umamusume-kor/Z4oy/46457,"다들 당연하다는 듯이 데리고 있던데 저도 드디어 맥퀸이 생겼어요!!

",0.0,"모두가 가지고 있는 맥퀸 시계처럼, 저도 드디어 맥퀸을 소유했습니다!"
7,46456,한섭 1.5주년때 라이트 헬로 위한 쥬얼 모우기 시작!,0,59,23.07.05,팔콘 사랑,https://cafe.daum.net/umamusume-kor/Z4oy/46456,,0.0,
8,46455,우마무스메는 사랑입니다,0,88,23.07.05,Renka,https://cafe.daum.net/umamusume-kor/Z4oy/46455,"봄, 그것은... 만남의 계절내일부터 이 귀여운 아이들의 레전드레이스를 뛸거에요!!

",0.8,내일부터 봄에 만남의 계절에서 아이들의 레전드레이스가 시작될 것이다.
9,46454,와 해방이다.,0,102,23.07.05,캬룽푸딩,https://cafe.daum.net/umamusume-kor/Z4oy/46454,"타이키 피스로 해방

",0.0,"""타이키 피스로 해방하기 위한 건의사항입니다."""
10,46452,힘들게 스텟 억까 조금이라도 뚫었는데,0,104,23.07.05,히즈키유우카,https://cafe.daum.net/umamusume-kor/Z4oy/46452,"크릭아!!!!!!!!!!!!!!!!!!!!!!!!!뭔가 하나 부족한거 같죠?

",-0.5,"""크릭아!!!!!!!!!!!!!!!!!!!!!!!!! 뭔가 하나 부족한 것 같아요."""
11,46451,뉴트랙 넘어오고 원호 왜이리 안뜸?,0,110,23.07.05,본능스피드,https://cafe.daum.net/umamusume-kor/Z4oy/46451,"4일동안 3번뜸 ㅡㅡ;;  스텟도 40이상조차 거의 안떠서 챔미말 한마리도 못 깍았네요.. 가챠도 ㅈ망하고 현타 너무 오짐  챔미 포기가 답인가...  매판 애교 달아도 스텟이 이리 안뜰수가 있나....

",0.0,"스텟이 거의 뜨지 않아서 4일 동안 3번만 뜨고 챔피언을 한 마리도 못 깍았는데, 가챠도 좋지 않고 현타가 너무 오네요. 챔피언을 포기해야 할까요? 매판 애교를 달아도 이렇게 스텟이 안 뜨는 것이 가능한가요?"
12,46450,이게 가능하네 ㄷㄷ,0,197,23.07.04,에르니아,https://cafe.daum.net/umamusume-kor/Z4oy/46450,"첫 무료 단챠 ㄷㄷㄷㄷ바로 와줘서 기쁘네요

",0.0,첫 무료 단챠가 바로 와서 기쁩니다.
