,id,titles,recommendations,views,regdate,link,sentiments,contents,summary
0,851,PC 클라이언트 FPS 상향,0,75,23.07.04,https://cafe.daum.net/umamusume-kor/ZaXF/851,-0.5,"1. 건의 내용: PC 클라이언트가 기존 앱플레이어 보다 버벅거림이 없어 쾌적하게 잘 이용하고 있습니다.그런데.. 요즘 대부분 모니터가 120 프레임도 넘는 고주사율 모니터인데..게임은 30 프레임으로 제한되어 있는 것이 너무 아쉽습니다.이거 상향한다고 성능 이슈라던가.. 기타 문제될게 없을거 같은데 어째서 30 프레임인지 의문입니다.60 프레임 이상 또는 무제한으로 상향되었으면 합니다.감사합니다. 2. 기타 첨부(스크린샷 / 동영상 등):  

",120 프레임 이상의 고주사율 모니터를 사용하는데 게임이 30 프레임으로 제한되어 있어서 아쉬움이 있습니다. 60 프레임 이상 또는 무제한으로 상향되면 좋겠습니다.
1,850,pc클라이언트 자동로그인,0,61,23.07.04,https://cafe.daum.net/umamusume-kor/ZaXF/850,0.2,"1. 건의 내용: pc클라이언트를 종료했다가 다시 실행시키면 다시 로그인을 해야하는게 다소 번거롭습니다. 그저 로그인만 하는거면 다른 게임들도 마찬가지라 괜찮은데, 매번 카카오톡 인증을 받아야해서 약간 불편합니다. 아직 베타버전이라 그렇겠지만 빠른 시일 내에 개선되면 좋겠습니다. 항상 좋은 운영 감사합니다. 2. 기타 첨부(스크린샷 / 동영상 등):  

","PC 클라이언트 종료 후 다시 실행하면 번거로워서 매번 로그인을 해야하는 점을 개선해주시면 좋겠습니다. (베타버전이라서 그럴 수도 있지만, 빠른 시일 내에 개선되길 바랍니다.)"
2,848,이모티콘 재배포는 어렵나요,0,63,23.07.03,https://cafe.daum.net/umamusume-kor/ZaXF/848,0.1,"1. 건의 내용: 이모티콘 또 쓰고싶어요.. 재배포해주세요.... 어렵다면 어쩔 수 없지만...2. 기타 첨부(스크린샷 / 동영상 등):  

","이모티콘을 추가로 사용하고 싶으며, 가능하다면 재배포 부탁드립니다."
3,847,뉴비 및 복귀 유저를 위한 선택권 패키지,0,70,23.07.03,https://cafe.daum.net/umamusume-kor/ZaXF/847,0.6,"1. 건의 내용: 가격이 엄청 비싸더라도최소한 비싼 금액을 치루고서라도 돌아오겠다는 유저는 잡아야 하지 않을까요...복귀 후 적응 못해 다시 접는 유저들 볼때마다 마음이 아픕니다특히 영세 서클은 더 심각할겁니다...이번 뉴트랙에 제발 다양한 패키지 도입을 조속하게 요구합니다. 시계 패키지도 그분들한텐 더더 필요할껄요2. 기타 첨부(스크린샷 / 동영상 등):  

",유저가 가격이 비싸더라도 돌아오겠다고 할 때도 유저들을 잡아야 한다고 건의합니다. 특히 영세 서클은 더 심각한 상황이기 때문에 다양한 패키지 도입이 필요하다고 요구합니다.
4,846,AND로 검색 기능 건의,0,72,23.07.03,https://cafe.daum.net/umamusume-kor/ZaXF/846,0.3,"1. 건의 내용: 안녕하세요, 매일 고생이 많으십니다.이번에 건의하고자 하는 것은, ""AND 검색 기능""입니다.각종 비공식 대회에 출전하면서,올라운더급 우마무스메들을 자주 키우게 됐는데요.예컨대 A 대회는 마일이고, 챔피언스 미팅은 장거리일 때, 마S장S 모두 있으면 좋지 않겠습니까?그래서 마일, 장거리에 체크를 하고 확인을 누르면 ""현재는"" 마일 인자 ""또는"" 장거리 인자가 나오고 있습니다.그런데 제가 건의드리는 AND 검색 기능을 활용하면, 적인자에 마일""도"" 있고 장거리""도"" 있는 우마무스메를 쉽게 찾을 수 있어 편리해질 것이라 생각합니다.챔피언스 미팅을 준비하는 데 있어, 예컨대 골드 쉽을 키우는데, 장거리, 추입을 체크하면 장거리인 카드""도"" 나오고 추입인 카드""도"" 나오지 않습니까? 저는 장거리""이면서"" 추입인 카드를 검색할 수 있는 기능을 건의한다고 볼 수 있겠습니다.부디 코딩 측면에서 구현하는 데 문제 없는 부분이었으면 좋겠습니다.읽어 주셔서 감사합니다. 2. 기타 첨부(스크린샷 / 동영상 등):  

",검색 기능에 AND 연산을 추가하여 특정 조건을 동시에 만족하는 카드를 검색할 수 있는 기능을 제안합니다.
5,845,룸매치 시스탬 개선 건의,0,57,23.07.01,https://cafe.daum.net/umamusume-kor/ZaXF/845,0.4,"1. 건의 내용: 룸매치에 여러 사람이 입장 시 팀 구분이 불가능하여 전략이 제한되는 경우가 많습니다. 사설 대회를 참가하며 아쉬움을 많이 느꼈는데 본사인 사이게임즈에 건의를 하여 룸매치에 다수의 유저 입장 시 각 유저들의 팀을 지정할 수 있는 시스템을 추가해줬으면 좋겠습니다. ex)12인 룸매치에 6명의 유저를 두 팀으로 나누기룸매치 생성 시 '팀그룹 생성'기능을 추가하여 팀을 구분할 수 있도록 개선. 입장 시 각 유저는 A/B그룹 중 하나를 선택하여 입장(각각 A그룹,B그룹끼리는 같은팀) 팀그룹 생성 시 룸매치 인원을 (2등분/3등분/4등분)하는 식으로 선택지를 제공 2. 기타 첨부(스크린샷 / 동영상 등):  

","룸매치에 여러 사람이 입장 시 팀 구분이 불가능하여 전략 제한, 각 유저들의 팀을 지정할 수 있는 시스템 추가해주세요."
6,844,로그인 좀 그만 풀리게…,1,152,23.06.30,https://cafe.daum.net/umamusume-kor/ZaXF/844,-0.7,"1. 건의 내용: 요즘 들어 로그인이 자꾸 풀리네요. 다시 로그인하는 과정은 괜찮은데, 설정이 다 리셋돼서 너무 불편합니다… 2. 기타 첨부(스크린샷 / 동영상 등):  

",로그인이 자꾸 풀려서 설정 리셋이 되어 불편합니다.
7,843,불건전 유저닉네임,0,152,23.06.29,https://cafe.daum.net/umamusume-kor/ZaXF/843,-0.9,"1. 건의 내용: 유저의 닉네임이 지역비하 고인모독성 닉네임 입니다.홍어집=전라도 비하성 일베단어슨상=고 김대중 대통령 비하 일베 단어 2. 기타 첨부(스크린샷 / 동영상 등):  

",유저의 닉네임이 지역비하 및 비하성 욕설을 담고 있다.
8,842,pc버전 불안해도 좋으니까 제발,0,86,23.06.29,https://cafe.daum.net/umamusume-kor/ZaXF/842,-0.3,"1. 건의 내용: pc버전 공개 부탁드립니다앱플레이어로 도저히 못하겠어요 2. 기타 첨부(스크린샷 / 동영상 등):  

","pc버전 공개를 부탁드립니다, 앱플레이어로 사용하기 어려워요."
9,840,Pc클라 점검에 대한 진행상황을 알려주세요,0,162,23.06.29,https://cafe.daum.net/umamusume-kor/ZaXF/840,0.2,"1. 건의 내용: pc클라가 점검을 시작한지 벌써 일주일이나 지났습니다. 유저들은 계속 묵묵히 기다릴 수 밖에 없는 상황입니다. 점검이 어디까지 진행되었는지 알려주세요. 2. 기타 첨부(스크린샷 / 동영상 등):  

",PC클라 점검 진행 상황을 알려주셨으면 합니다.
